,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
84,The Weekend,0.784,0.521,1,-5.701,1,0.0322,0.062,4.75e-06,0.0995,0.817,101.491,audio_features,5q3LwAHTqo9d3rET2EA9Nq,spotify:track:5q3LwAHTqo9d3rET2EA9Nq,https://api.spotify.com/v1/tracks/5q3LwAHTqo9d3rET2EA9Nq,https://api.spotify.com/v1/audio-analysis/5q3LwAHTqo9d3rET2EA9Nq,167662,4
85,Sau Tarah Ke,0.702,0.773,11,-4.79,1,0.0618,0.0469,0.0,0.171,0.719,133.888,audio_features,54SQet8YMttOgTqDNGcGpe,spotify:track:54SQet8YMttOgTqDNGcGpe,https://api.spotify.com/v1/tracks/54SQet8YMttOgTqDNGcGpe,https://api.spotify.com/v1/audio-analysis/54SQet8YMttOgTqDNGcGpe,238994,4
86,Dil Laga Na,0.782,0.953,7,-5.442,1,0.162,0.161,1.97e-06,0.0491,0.477,101.997,audio_features,3LdZ1fFzohRUbcNI9sa8jV,spotify:track:3LdZ1fFzohRUbcNI9sa8jV,https://api.spotify.com/v1/tracks/3LdZ1fFzohRUbcNI9sa8jV,https://api.spotify.com/v1/audio-analysis/3LdZ1fFzohRUbcNI9sa8jV,304771,4
87,Lights,0.703,0.731,8,-6.283,0,0.0311,0.0721,0.00191,0.138,0.719,120.028,audio_features,11ozIUBoXAgRTVWelDn4pL,spotify:track:11ozIUBoXAgRTVWelDn4pL,https://api.spotify.com/v1/tracks/11ozIUBoXAgRTVWelDn4pL,https://api.spotify.com/v1/audio-analysis/11ozIUBoXAgRTVWelDn4pL,244267,4
88,Without Me,0.908,0.669,7,-2.827,1,0.0738,0.00286,0.0,0.237,0.662,112.238,audio_features,7lQ8MOhq6IN2w8EYcFNSUk,spotify:track:7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/tracks/7lQ8MOhq6IN2w8EYcFNSUk,https://api.spotify.com/v1/audio-analysis/7lQ8MOhq6IN2w8EYcFNSUk,290320,4
89,Deja Vu (feat. Jay-Z) - Homecoming Live,0.772,0.684,6,-8.742,1,0.14,0.00534,2.66e-06,0.7,0.154,105.975,audio_features,7Id9WVdUZXIK1jchXxvRH3,spotify:track:7Id9WVdUZXIK1jchXxvRH3,https://api.spotify.com/v1/tracks/7Id9WVdUZXIK1jchXxvRH3,https://api.spotify.com/v1/audio-analysis/7Id9WVdUZXIK1jchXxvRH3,289790,4
90,Dj Waley Babu (feat. Aastha Gill),0.959,0.606,1,-5.754,1,0.219,0.345,0.0,0.126,0.783,110.0,audio_features,2SRv30X7NoYRZB62dX0UzH,spotify:track:2SRv30X7NoYRZB62dX0UzH,https://api.spotify.com/v1/tracks/2SRv30X7NoYRZB62dX0UzH,https://api.spotify.com/v1/audio-analysis/2SRv30X7NoYRZB62dX0UzH,169080,4
91,Fairytale,0.586,0.714,2,-6.414,0,0.0271,0.434,1.87e-05,0.32,0.593,107.964,audio_features,6NgYIETQ8U72CVfkzYhK30,spotify:track:6NgYIETQ8U72CVfkzYhK30,https://api.spotify.com/v1/tracks/6NgYIETQ8U72CVfkzYhK30,https://api.spotify.com/v1/audio-analysis/6NgYIETQ8U72CVfkzYhK30,183093,4
92,Don’t Wake Me Up,0.602,0.691,7,-5.197,0,0.051,0.0548,0.0,0.144,0.206,127.967,audio_features,18VfHIPaCo0s6FTi1Fnp6T,spotify:track:18VfHIPaCo0s6FTi1Fnp6T,https://api.spotify.com/v1/tracks/18VfHIPaCo0s6FTi1Fnp6T,https://api.spotify.com/v1/audio-analysis/18VfHIPaCo0s6FTi1Fnp6T,222307,4
93,Hayloft II,0.326,0.866,9,-4.541,0,0.101,0.0044,7.37e-06,0.0912,0.172,178.181,audio_features,0kYMwaQWABTkFff8AZjmYI,spotify:track:0kYMwaQWABTkFff8AZjmYI,https://api.spotify.com/v1/tracks/0kYMwaQWABTkFff8AZjmYI,https://api.spotify.com/v1/audio-analysis/0kYMwaQWABTkFff8AZjmYI,215040,4
94,I WANNA BE YOUR SLAVE,0.75,0.608,1,-4.008,1,0.0387,0.00165,0.0,0.178,0.958,132.507,audio_features,4pt5fDVTg5GhEvEtlz9dKk,spotify:track:4pt5fDVTg5GhEvEtlz9dKk,https://api.spotify.com/v1/tracks/4pt5fDVTg5GhEvEtlz9dKk,https://api.spotify.com/v1/audio-analysis/4pt5fDVTg5GhEvEtlz9dKk,173347,4
95,Body,0.914,0.732,8,-6.1,0,0.241,0.0166,0.0,0.107,0.469,94.066,audio_features,0A1hoCfMLkiAgvhWkkucJa,spotify:track:0A1hoCfMLkiAgvhWkkucJa,https://api.spotify.com/v1/tracks/0A1hoCfMLkiAgvhWkkucJa,https://api.spotify.com/v1/audio-analysis/0A1hoCfMLkiAgvhWkkucJa,171067,4
96,1004,0.613,0.931,2,-1.84,1,0.0427,0.0832,0.0,0.139,0.727,126.984,audio_features,7vQ6OmA3UvEMjRKv8jxC3o,spotify:track:7vQ6OmA3UvEMjRKv8jxC3o,https://api.spotify.com/v1/tracks/7vQ6OmA3UvEMjRKv8jxC3o,https://api.spotify.com/v1/audio-analysis/7vQ6OmA3UvEMjRKv8jxC3o,205714,4
97,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",0.599,0.526,9,-7.812,0,0.0385,0.0408,0.00256,0.209,0.134,90.018,audio_features,6Ec5LeRzkisa5KJtwLfOoW,spotify:track:6Ec5LeRzkisa5KJtwLfOoW,https://api.spotify.com/v1/tracks/6Ec5LeRzkisa5KJtwLfOoW,https://api.spotify.com/v1/audio-analysis/6Ec5LeRzkisa5KJtwLfOoW,256027,4
98,Desperado - MK Remix,0.738,0.758,1,-8.807,1,0.0519,0.0121,2.5e-05,0.0968,0.335,125.994,audio_features,0s03IZegf46I9P5Rr9k4D2,spotify:track:0s03IZegf46I9P5Rr9k4D2,https://api.spotify.com/v1/tracks/0s03IZegf46I9P5Rr9k4D2,https://api.spotify.com/v1/audio-analysis/0s03IZegf46I9P5Rr9k4D2,215853,4
