,ts,username,platform,ms_played,conn_country,ip_addr_decrypted,user_agent_decrypted,master_metadata_track_name,master_metadata_album_artist_name,master_metadata_album_album_name,spotify_track_uri,episode_name,episode_show_name,spotify_episode_uri,reason_start,reason_end,shuffle,skipped,offline,offline_timestamp,incognito_mode
876,2018-05-17T13:25:33Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",195800,US,75.84.183.73,unknown,I'll Be There - Korean Version,TAEYANG,Solar International,spotify:track:3LhSJiDkjo19tgnGi9Zdhq,,,,fwdbtn,trackdone,True,,False,1526563337458,False
877,2018-05-17T13:29:16Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",89769,US,75.84.183.73,unknown,Base Line,j-hope,Hope World,spotify:track:464jQiBOieEQBuo48qnPJl,,,,trackdone,trackdone,True,,False,1526563593734,False
878,2018-05-17T14:20:46Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",55841,US,173.196.129.140,unknown,BTS Cypher Pt.3: Killer,BTS,Dark & Wild,spotify:track:2kyht6yYIHLianPBFxx7Mt,,,,trackdone,unexpected-exit-while-paused,True,,False,1526563755828,False
879,2018-05-17T14:26:06Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",211941,US,173.196.129.140,unknown,BTS Cypher Pt.3: Killer,BTS,Dark & Wild,spotify:track:2kyht6yYIHLianPBFxx7Mt,,,,appload,trackdone,True,,False,1526566848882,False
880,2018-05-17T14:27:14Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",66801,US,173.196.129.140,unknown,항상 (HANGSANG),j-hope,Hope World,spotify:track:4mYu3kfBCW6qiTDnfVeuMx,,,,trackdone,fwdbtn,True,,False,1526567165933,False
881,2018-05-17T14:31:18Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",244587,US,173.196.129.140,unknown,Come Back Home,BTS,Come Back Home,spotify:track:5dEaQCUCJIQyJs5qVZYXOC,,,,fwdbtn,trackdone,True,,False,1526567234087,False
882,2018-05-17T14:36:53Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",294463,US,173.196.129.140,unknown,BTS Cypher 4,BTS,Wings,spotify:track:1QWxddJmOhQb1vDdyTipMR,,,,trackdone,trackdone,True,,False,1526567477835,False
883,2018-05-17T23:21:23Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",181966,US,75.84.183.73,unknown,Champion - Remix,Fall Out Boy,Champion,spotify:track:6PurllVXXGL1s6UkLtzMVF,,,,trackdone,unexpected-exit-while-paused,True,,False,1526567874575,False
884,2018-05-18T03:41:04Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",34063,US,75.84.183.73,unknown,Boy in Luv,BTS,Skool Luv Affair (Special Edition),spotify:track:0i0hqOQdyFFd4cR5s32w8x,,,,fwdbtn,endplay,False,,False,1526614824729,False
885,2018-05-18T03:44:38Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",210320,US,75.84.183.73,unknown,Champion - Remix,Fall Out Boy,Champion,spotify:track:6PurllVXXGL1s6UkLtzMVF,,,,clickrow,trackdone,True,,False,1526614863477,False
886,2018-05-18T03:45:30Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",14018,US,75.84.183.73,unknown,724148,Agust D,Agust D,spotify:track:5io5w3uHAYTw74Sr8oHVEL,,,,trackdone,fwdbtn,True,,False,1526615077280,False
887,2018-05-18T03:49:47Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",244587,US,75.84.183.73,unknown,Come Back Home,BTS,Come Back Home,spotify:track:5dEaQCUCJIQyJs5qVZYXOC,,,,fwdbtn,trackdone,True,,False,1526615129047,False
888,2018-05-18T03:53:37Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",229373,US,75.84.183.73,unknown,Where U At,TAEYANG,Solar,spotify:track:1D7MAYUiTDxiG4FqhLj774,,,,trackdone,trackdone,True,,False,1526615387114,False
889,2018-05-18T14:01:14Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",121397,US,75.84.183.73,unknown,BERMUDA TRIANGLE,ZICO,BERMUDA TRIANGLE,spotify:track:0hRVm06wtH5HsmPetg1W9t,,,,trackdone,endplay,True,,False,1526615616935,False
890,2018-05-18T14:01:22Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",5781,US,75.84.183.73,unknown,Not Today,BTS,You Never Walk Alone,spotify:track:4hrpoqJMVE7FxBu1YWx0eQ,,,,fwdbtn,endplay,True,,False,1526652075229,False
891,2018-05-18T14:01:26Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",3668,US,75.84.183.73,unknown,血、汗、涙 - Japanese ver.,BTS,FACE YOURSELF,spotify:track:6u1ILVDFXcmQGQGCA3h849,,,,clickrow,fwdbtn,True,,False,1526652081687,False
892,2018-05-18T14:01:27Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",1462,US,75.84.183.73,unknown,Outro: Her,BTS,Love Yourself 承 'Her',spotify:track:3l8yQMdniG6Os8gUBNXV57,,,,fwdbtn,fwdbtn,True,,False,1526652085432,False
893,2018-05-18T14:01:28Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",696,US,75.84.183.73,unknown,Skit: Billboard Music Awards Speech,BTS,Love Yourself 承 'Her',spotify:track:7KXEhfjwdxHVra8VcT2QHH,,,,fwdbtn,fwdbtn,True,,False,1526652086921,False
894,2018-05-18T14:01:29Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",69,US,75.84.183.73,unknown,Not Today - Japanese ver.,BTS,FACE YOURSELF,spotify:track:6aJj9OlLiZVagW8fd8ZtK3,,,,fwdbtn,fwdbtn,True,,False,1526652087891,False
895,2018-05-18T14:12:28Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",196998,US,173.196.129.141,unknown,Intro: Singularity,BTS,Love Yourself 轉 'Tear',spotify:track:6ePyl2ns4b7MVYhjsj32ZK,,,,fwdbtn,trackdone,True,,False,1526652088861,False
896,2018-05-18T14:12:28Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",211223,US,173.196.129.141,unknown,Paradise,BTS,Love Yourself 轉 'Tear',spotify:track:01dmH2IPkrLNWIMPNXlreE,,,,trackdone,trackdone,True,,False,1526652285708,False
897,2018-05-18T14:17:46Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",284980,US,173.196.129.141,unknown,Outro: Tear,BTS,Love Yourself 轉 'Tear',spotify:track:5p10VwQ8LRoyTc8LFrvPw6,,,,fwdbtn,trackdone,True,,False,1526652744835,False
898,2018-05-18T14:22:28Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",281520,US,173.196.129.141,unknown,So What,BTS,Love Yourself 轉 'Tear',spotify:track:4CvId64YZSB0RfRdfzPIQU,,,,trackdone,trackdone,True,,False,1526653065437,False
899,2018-05-18T23:48:57Z,a.r.m.y.skylar,"iOS 11.2 (iPhone6,2)",4898,US,75.84.183.73,unknown,MIC Drop,BTS,Love Yourself 承 'Her',spotify:track:2SYa5Lx1uoCvyDIW4oee9b,,,,trackdone,unexpected-exit-while-paused,True,,False,1526653410205,False
