,endTime,artistName,trackName,msPlayed
138,2023-10-27 15:04,Jonas Brothers,Who's In Your Head,183536
139,2023-10-27 15:08,Charlie Puth,Light Switch,187703
140,2023-10-27 15:20,Charlie Puth,Attention,4083
141,2023-10-27 15:25,John Powell,Once There Were Dragons,345005
142,2023-10-27 15:26,Jónsi,Together from Afar (How To Train Your Dragon: The Hidden World),298
143,2023-10-27 15:30,John Powell,This Is Berk,250266
144,2023-10-27 15:32,John Powell,Dragon Battle,115013
145,2023-10-27 16:42,TOMORROW X TOGETHER,Do It Like That,145065
146,2023-10-27 16:44,iamnotshane,Take Me Out,145107
147,2023-10-27 16:47,EI8HT,Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix,162280
148,2023-10-27 16:51,Ayushmann Khurrana,Pani Da Rang Male,240786
149,2023-10-27 16:57,John Powell,The Downed Dragon,14900
150,2023-10-27 16:58,Vishal-Shekhar,Khuda Jaane,333181
151,2023-10-27 17:01,Pritam,"Character Dheela 2.0 (From ""Shehzada"")",157152
152,2023-10-27 17:04,Anirudh Ravichander,Chaleya,200373
153,2023-10-27 17:07,KAI,Rover,174506
154,2023-10-27 17:10,TOMORROW X TOGETHER,Back for More (with Anitta),131037
155,2023-10-27 17:11,Ankit Tiwari,Sunn Raha Hai,85732
156,2023-10-27 17:13,Boys World,SO WHAT,136004
157,2023-10-27 17:16,Imagine Dragons,Enemy (with JID) - from the series Arcane League of Legends,173381
158,2023-10-27 17:20,Edward Maya,Love Stereo Again,206181
159,2023-10-27 17:23,Doja Cat,Paint The Town Red,231750
160,2023-10-27 17:28,Tainy,COLMILLO,265999
161,2023-10-27 17:31,Imagine Dragons,Bones,165264
162,2023-10-27 17:35,Ricky Martin,Vente Pa' Ca (feat. Maluma),259195
163,2023-10-27 17:39,BTS,Spine Breaker,238529
164,2023-10-27 17:42,iamnotshane,Plot Twist,176470
165,2023-10-27 17:47,Pritam,Touch Me,318066
166,2023-10-27 17:50,Armaan Malik,Memu Aagamu,167547
167,2023-10-27 17:52,Troye Sivan,Rush,102335
168,2023-10-27 19:40,Troye Sivan,Rush,55223
169,2023-10-27 19:44,Pritam,"Pyaar Hota Kayi Baar Hai (From ""Tu Jhoothi Main Makkaar"")",216270
170,2023-10-27 20:30,Rochak Kohli,Saadi Galli Aaja,153486
171,2023-10-28 04:14,Rochak Kohli,Saadi Galli Aaja,100174
172,2023-10-28 04:16,bbno$,edamame (feat. Rich Brian),133706
173,2023-10-28 04:20,Fall Out Boy,Immortals,189386
174,2023-10-28 04:23,MONSTA X,WHO DO U LOVE?,189035
175,2023-10-28 04:40,Joel Sunny,Luminary,137576
176,2023-10-28 05:58,HARIZ,X My Mind,8228
177,2023-10-28 05:58,HARIZ,X My Mind,152372
178,2023-10-28 06:01,KAI,Rover,174506
179,2023-10-28 06:09,TOMORROW X TOGETHER,Do It Like That,145065
180,2023-10-28 06:12,MONSTA X,WHO DO U LOVE?,189035
181,2023-10-28 06:15,Troye Sivan,Rush,156391
182,2023-10-28 06:22,Armaan Malik,Memu Aagamu,167547
183,2023-10-28 06:27,Ricky Martin,Vente Pa' Ca (feat. Maluma),254728
184,2023-10-28 14:10,Enrique Iglesias,DUELE EL CORAZON,5351
185,2023-10-28 14:17,Ricky Martin,"The Cup of Life (The Official Song of the World Cup, France '98) - Remix - English Radio Edit",279920
186,2023-10-28 14:20,ROSALÍA,LA FAMA,186803
187,2023-10-28 14:26,Dan Avidan,Kiss From A Rose,7476
188,2023-10-28 14:26,Ninja Sex Party,Everybody Wants to Rule the World,253647
189,2023-10-28 14:29,5 Seconds of Summer,Easier - Live From The Vault,206927
190,2023-10-28 14:30,BTS,My Time,26341
191,2023-10-28 14:34,KK,Kya Mujhe Pyar Hai (Remix),252840
192,2023-10-28 14:39,Alexander Rybak,Fairytale,183093
193,2023-10-28 14:42,MONSTA X,WHO DO U LOVE?,189035
194,2023-10-28 14:46,iamnotshane,Chasing the Wind,198095
195,2023-10-28 14:48,CKay,love nwantiti (ah ah ah),145800
196,2023-10-28 14:52,BTS,Life Goes On,207481
197,2023-10-28 14:57,5 Seconds of Summer,Easier - Live From The Vault,206927
198,2023-10-28 14:59,BTS,My Time,18374
199,2023-10-28 15:09,TOMORROW X TOGETHER,Do It Like That,145065
200,2023-10-28 15:12,Anirudh Ravichander,Chaleya,200373
201,2023-10-28 15:18,Ankit Tiwari,Sunn Raha Hai,390222
202,2023-10-28 15:24,Pritam,Touch Me,318066
203,2023-10-28 15:34,Tainy,COLMILLO,232942
204,2023-10-28 15:34,Joel Sunny,Luminary,368
205,2023-10-28 15:48,Vishal-Shekhar,Khuda Jaane,333181
206,2023-10-28 15:49,Anirudh Ravichander,Chaleya,53602
207,2023-10-28 19:47,Ricky Martin,Vente Pa' Ca (feat. Maluma),4522
208,2023-10-28 19:50,iamnotshane,Plot Twist,176470
209,2023-10-28 19:53,TOMORROW X TOGETHER,Back for More (with Anitta),131037
210,2023-10-28 19:55,EI8HT,Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix,162280
211,2023-10-28 19:58,Joel Sunny,Luminary,189000
212,2023-10-28 20:04,Vishal-Shekhar,Khuda Jaane,333181
213,2023-10-28 20:06,bbno$,edamame (feat. Rich Brian),133706
214,2023-10-28 20:10,Ayushmann Khurrana,Pani da Rang (Male),239333
215,2023-10-28 20:13,Pritam,"Character Dheela 2.0 (From ""Shehzada"")",157152
216,2023-10-28 20:18,Fall Out Boy,Immortals,189386
217,2023-10-28 20:23,Tainy,COLMILLO,265999
218,2023-10-28 20:25,iamnotshane,Take Me Out,145107
219,2023-10-28 20:29,KK,Kya Mujhe Pyar Hai (Style Mix),127802
220,2023-10-28 20:32,Anirudh Ravichander,Not Ramaiya Vastavaiya,202556
221,2023-10-28 20:35,Imagine Dragons,Bones,165264
222,2023-10-28 20:35,KAI,Rover,203
223,2023-10-28 20:58,Anirudh Ravichander,Chaleya,205533
224,2023-10-28 21:00,Boys World,SO WHAT,136004
225,2023-10-28 21:04,Fall Out Boy,Immortals,189386
226,2023-10-28 21:07,EI8HT,Silk & Cologne (EI8HT & Offset) - Spider-Verse Remix,730
227,2023-10-28 21:07,iamnotshane,Plot Twist,643
228,2023-10-28 21:07,Imagine Dragons,Bones,1396
